route_id,vehicle_id,swap,swap_cost_pln,overrun_cost_pln,total_cost_pln
276,17,False,0.0,0.0,0.0
277,37,False,0.0,0.0,0.0
278,48,False,0.0,0.0,0.0
279,50,False,0.0,0.0,0.0
271,39,False,0.0,0.0,0.0
281,45,False,0.0,0.0,0.0
303,46,False,0.0,0.0,0.0
305,71,False,0.0,0.0,0.0
328,47,True,1302.423,0.0,1302.423
329,62,True,2084.0029999999997,0.0,1309.307
330,149,True,1933.5880000000002,0.0,1380.0030000000002
331,74,True,1596.6889999999999,0.0,1575.651
332,180,True,1481.192,0.0,1481.192
333,119,True,1451.183,0.0,1297.5030000000002
334,73,False,0.0,0.0,0.0
335,27,True,1645.931,0.0,1476.945
336,53,True,1478.768,0.0,1478.768
337,51,True,2180.8669999999997,0.0,1323.295
338,97,True,1807.8290000000002,0.0,1536.054
339,70,True,1719.866,0.0,1478.2599999999998
340,38,True,1543.527,0.0,1377.675
341,75,False,0.0,0.0,0.0
342,77,True,1987.433,0.0,1558.767
343,33,True,1502.1999999999998,0.0,1336.199
344,82,True,1277.144,0.0,1277.144
327,123,True,1682.507,0.0,1661.163
326,78,True,1602.7350000000001,0.0,1602.7350000000001
325,83,True,1420.3899999999999,0.0,1420.3899999999999
324,84,False,0.0,0.0,0.0
306,25,False,0.0,0.0,0.0
307,79,False,0.0,0.0,0.0
308,96,False,0.0,0.0,0.0
309,80,False,0.0,0.0,0.0
310,41,False,0.0,0.0,0.0
311,98,False,0.0,0.0,0.0
312,99,False,0.0,0.0,0.0
313,86,False,0.0,0.0,0.0
304,85,False,0.0,0.0,0.0
314,55,False,0.0,0.0,0.0
316,56,False,0.0,0.0,0.0
317,87,False,0.0,0.0,0.0
318,94,False,0.0,0.0,0.0
319,90,False,0.0,0.0,0.0
320,101,False,0.0,0.0,0.0
321,63,False,0.0,0.0,0.0
322,64,False,0.0,0.0,0.0
323,91,False,0.0,0.0,0.0
315,65,False,0.0,0.0,0.0
260,108,False,0.0,0.0,0.0
229,66,False,0.0,0.0,0.0
258,68,False,0.0,0.0,0.0
197,92,False,0.0,0.0,0.0
198,104,False,0.0,0.0,0.0
199,105,False,0.0,0.0,0.0
200,111,False,0.0,0.0,0.0
201,100,False,0.0,0.0,0.0
202,114,False,0.0,0.0,0.0
203,116,False,0.0,0.0,0.0
204,106,False,0.0,0.0,0.0
205,76,False,0.0,0.0,0.0
206,117,False,0.0,0.0,0.0
207,107,False,0.0,0.0,0.0
208,102,False,0.0,0.0,0.0
209,120,False,0.0,0.0,0.0
210,81,False,0.0,0.0,0.0
212,131,False,0.0,0.0,0.0
213,88,False,0.0,0.0,0.0
214,89,False,0.0,0.0,0.0
196,134,False,0.0,0.0,0.0
195,110,False,0.0,0.0,0.0
194,93,False,0.0,0.0,0.0
193,115,False,0.0,0.0,0.0
175,135,False,0.0,0.0,0.0
176,112,False,0.0,0.0,0.0
177,118,False,0.0,0.0,0.0
178,126,False,0.0,0.0,0.0
179,132,False,0.0,0.0,0.0
180,139,False,0.0,0.0,0.0
181,141,False,0.0,0.0,0.0
182,148,False,0.0,0.0,0.0
215,121,False,0.0,0.0,0.0
183,95,False,0.0,0.0,0.0
185,109,False,0.0,0.0,0.0
186,122,False,0.0,0.0,0.0
187,150,False,0.0,0.0,0.0
188,155,False,0.0,0.0,0.0
189,129,False,0.0,0.0,0.0
190,130,False,0.0,0.0,0.0
191,144,False,0.0,0.0,0.0
192,168,False,0.0,0.0,0.0
184,145,False,0.0,0.0,0.0
216,169,False,0.0,0.0,0.0
211,133,False,0.0,0.0,0.0
218,146,False,0.0,0.0,0.0
240,137,False,0.0,0.0,0.0
241,136,False,0.0,0.0,0.0
217,138,False,0.0,0.0,0.0
243,142,False,0.0,0.0,0.0
244,154,False,0.0,0.0,0.0
245,151,False,0.0,0.0,0.0
246,152,False,0.0,0.0,0.0
247,173,False,0.0,0.0,0.0
239,159,False,0.0,0.0,0.0
248,160,False,0.0,0.0,0.0
250,140,False,0.0,0.0,0.0
251,157,False,0.0,0.0,0.0
252,161,False,0.0,0.0,0.0
253,162,False,0.0,0.0,0.0
254,174,False,0.0,0.0,0.0
255,143,False,0.0,0.0,0.0
256,176,False,0.0,0.0,0.0
257,163,False,0.0,0.0,0.0
249,179,False,0.0,0.0,0.0
238,57,True,2113.08,0.0,1359.238
242,166,False,0.0,0.0,0.0
236,21,True,2113.08,0.0,1548.334
219,54,True,2113.08,0.0,1762.995
220,147,False,0.0,0.0,0.0
221,58,True,1924.054,0.0,1322.761
237,156,False,0.0,0.0,0.0
223,158,False,0.0,0.0,0.0
224,164,False,0.0,0.0,0.0
225,178,False,0.0,0.0,0.0
226,59,True,1924.054,0.0,1466.652
222,165,False,0.0,0.0,0.0
228,167,False,0.0,0.0,0.0
259,127,True,1881.921,0.0,1494.8959999999997
230,24,True,1881.921,0.0,1504.2710000000002
231,128,True,1924.054,0.0,1573.799
232,170,False,0.0,0.0,0.0
233,171,False,0.0,0.0,0.0
234,172,False,0.0,0.0,0.0
235,61,True,1924.054,0.0,1595.964
227,69,True,1873.439,0.0,1793.911
347,30,True,1752.196,0.0,1566.879
345,79,True,1934.524,0.0,1797.622
346,100,True,2166.949,0.0,1988.137
348,4,True,1587.226,0.0,1542.162
349,19,True,1985.685,0.0,1277.144
350,25,True,1743.397,0.0,1743.397
351,177,False,0.0,0.0,0.0
352,36,True,2158.432,0.0,1876.3490000000002
357,84,True,2067.567,0.0,1472.2649999999999
358,103,True,1573.996,0.0,1369.338
356,15,True,1590.6180000000002,0.0,1542.6390000000001
359,128,True,1741.464,0.0,1614.654
354,124,True,1948.7649999999999,0.0,1392.741
353,123,True,2019.547,0.0,1381.585
355,6,True,2054.849,0.0,2054.849
360,47,True,2000.4940000000001,0.0,1381.1680000000001
372,71,True,1905.349,0.0,1422.318
371,78,True,1807.6570000000002,0.0,1542.865
370,3,True,1580.175,0.0,1580.175
369,58,True,1743.301,0.0,1743.301
367,21,True,2220.294,0.0,1668.1620000000003
368,40,False,0.0,0.0,0.0
365,107,True,1941.26,0.0,1836.9699999999998
364,121,True,1958.5030000000002,0.0,1649.8890000000001
363,42,False,0.0,0.0,0.0
362,120,True,1396.946,0.0,1396.946
361,102,True,1820.911,0.0,1379.874
488,5,False,0.0,0.0,0.0
483,1,False,0.0,0.0,0.0
484,11,False,0.0,0.0,0.0
485,13,False,0.0,0.0,0.0
482,8,False,0.0,0.0,0.0
486,2,False,0.0,0.0,0.0
487,7,False,0.0,0.0,0.0
489,23,False,0.0,0.0,0.0
496,24,False,0.0,0.0,0.0
491,22,False,0.0,0.0,0.0
492,32,False,0.0,0.0,0.0
493,9,False,0.0,0.0,0.0
494,43,False,0.0,0.0,0.0
495,10,False,0.0,0.0,0.0
481,28,False,0.0,0.0,0.0
497,29,False,0.0,0.0,0.0
498,18,False,0.0,0.0,0.0
490,34,False,0.0,0.0,0.0
480,12,False,0.0,0.0,0.0
473,14,False,0.0,0.0,0.0
478,44,False,0.0,0.0,0.0
460,40,False,0.0,0.0,0.0
461,49,False,0.0,0.0,0.0
462,20,False,0.0,0.0,0.0
463,16,False,0.0,0.0,0.0
464,48,False,0.0,0.0,0.0
465,52,False,0.0,0.0,0.0
466,26,False,0.0,0.0,0.0
467,60,False,0.0,0.0,0.0
479,31,False,0.0,0.0,0.0
468,35,False,0.0,0.0,0.0
470,37,False,0.0,0.0,0.0
471,50,False,0.0,0.0,0.0
472,54,False,0.0,0.0,0.0
499,39,False,0.0,0.0,0.0
474,17,False,0.0,0.0,0.0
475,45,False,0.0,0.0,0.0
476,57,False,0.0,0.0,0.0
477,69,False,0.0,0.0,0.0
469,46,False,0.0,0.0,0.0
500,67,False,0.0,0.0,0.0
508,41,False,0.0,0.0,0.0
502,85,False,0.0,0.0,0.0
526,72,True,1730.845,0.0,1515.994
527,62,True,2094.506,0.0,1421.99
528,80,True,2178.2690000000002,0.0,1407.933
529,38,False,0.0,0.0,0.0
530,175,True,1843.0030000000002,0.0,1479.73
531,100,True,1585.11,0.0,1265.881
532,55,False,0.0,0.0,0.0
533,53,True,1720.787,0.0,1437.151
525,87,True,1473.654,0.0,1473.654
534,86,True,1393.624,0.0,1393.624
536,30,True,2067.013,0.0,1291.16
537,94,True,2178.2690000000002,0.0,1407.933
538,36,True,1839.737,0.0,1310.598
539,56,True,1875.3310000000001,0.0,1308.173
540,103,True,2021.33,0.0,1439.951
541,110,True,2178.2690000000002,0.0,1407.933
542,90,False,0.0,0.0,0.0
459,91,False,0.0,0.0,0.0
535,153,True,2006.134,0.0,1441.587
501,59,False,0.0,0.0,0.0
524,63,False,0.0,0.0,0.0
522,61,False,0.0,0.0,0.0
503,92,False,0.0,0.0,0.0
504,64,False,0.0,0.0,0.0
505,112,False,0.0,0.0,0.0
506,75,False,0.0,0.0,0.0
507,118,False,0.0,0.0,0.0
509,96,False,0.0,0.0,0.0
510,98,False,0.0,0.0,0.0
511,126,False,0.0,0.0,0.0
523,120,True,1395.1499999999999,0.0,1379.942
512,65,False,0.0,0.0,0.0
514,66,False,0.0,0.0,0.0
515,104,False,0.0,0.0,0.0
516,132,False,0.0,0.0,0.0
517,105,False,0.0,0.0,0.0
518,99,False,0.0,0.0,0.0
519,68,False,0.0,0.0,0.0
520,76,False,0.0,0.0,0.0
521,106,False,0.0,0.0,0.0
513,81,False,0.0,0.0,0.0
458,101,False,0.0,0.0,0.0
405,115,False,0.0,0.0,0.0
456,88,False,0.0,0.0,0.0
395,127,False,0.0,0.0,0.0
396,130,False,0.0,0.0,0.0
397,136,False,0.0,0.0,0.0
398,108,False,0.0,0.0,0.0
399,141,False,0.0,0.0,0.0
400,111,False,0.0,0.0,0.0
401,114,False,0.0,0.0,0.0
402,138,False,0.0,0.0,0.0
403,89,False,0.0,0.0,0.0
